Potential (V),Current (A)
0.807864487,0.040571116
0.810624838,0.040749006
0.81399864,0.04092076
0.817065716,0.041061845
0.819826066,0.041239735
0.822893083,0.041405357
0.826266885,0.041583244
0.829027236,0.041755002
0.832400978,0.041951295
0.835774779,0.042141452
0.837921739,0.04236228
0.841295481,0.042570841
0.844362557,0.042773265
0.847429633,0.042975694
0.850803375,0.04315358
0.853563726,0.043362141
0.856630802,0.043576837
0.859084487,0.0438038
0.863378346,0.044036895
0.865525305,0.044288397
0.869512498,0.044521492
0.872272849,0.04474232
0.875339866,0.044993822
0.87779355,0.045196246
0.881167293,0.045447744
0.884541094,0.045693111
0.888221562,0.045926206
0.890675187,0.04621451
0.894048989,0.046502814
0.896195948,0.046803389
0.899876416,0.047128495
0.903250158,0.047441337
0.906317234,0.047778714
0.908157468,0.048152894
0.91153127,0.048520941
0.914905012,0.048913527
0.917972088,0.049324512
0.921039164,0.04972323
0.923799515,0.050109681
0.926559865,0.050526801
0.929933608,0.050943922
0.933000684,0.051379446
0.93606776,0.05184564
0.938828111,0.052299567
0.941588461,0.052759625
0.945268929,0.053238086
0.94802928,0.053692013
0.951403081,0.054176606
0.954470158,0.054655071
0.957230508,0.055139665
0.96060425,0.055636529
0.963364601,0.056133393
0.966431677,0.056654796
0.969192028,0.057163928
0.972872496,0.057697598
0.97532618,0.058225133
0.977779806,0.058752667
0.981460273,0.059274066
0.984527349,0.059807736
0.987594426,0.060372077
0.990354776,0.060918014
0.993115127,0.061463952
0.996182203,0.062028289
0.998942554,0.062604897
1.002316356,0.063181505
1.005076647,0.063758112
1.008450389,0.064346991
1.011210799,0.064942002
1.014277816,0.065524742
1.017344952,0.066089079
1.020105243,0.066702493
1.02378571,0.067328177
1.02593267,0.067966126
1.029613137,0.068610206
1.032373548,0.069242023
1.035133839,0.069861569
1.038200974,0.070474982
1.041267991,0.071106799
1.044641852,0.071726345
1.047095418,0.072388828
1.050162554,0.073045179
1.05322957,0.073726073
1.056603312,0.074382424
1.059056997,0.075032637
1.062430739,0.075670585
1.068258166,0.076977156
1.071325302,0.077639639
1.074699044,0.078338936
1.07715261,0.079025954
1.080219746,0.079749785
1.083286762,0.080461338
1.086047173,0.081136093
1.089420915,0.081798583
1.092181325,0.082473338
1.095248342,0.083172627
1.097702026,0.083847381
1.101075768,0.084577337
1.103529453,0.085264362
1.106903195,0.085969791
1.109970212,0.086687483
1.113037348,0.087399036
1.115797639,0.088116735
1.119171381,0.088828288
1.121625066,0.089539848
1.124692202,0.09025754
1.127759218,0.090962969
1.130826235,0.091686793
1.133586645,0.092404485
1.136960387,0.093146719
1.139414072,0.093882814
1.14309454,0.09461277
1.145854831,0.095355004
1.148308516,0.096072696
1.151682258,0.096814923
1.154442668,0.097544886
1.157509685,0.098280981
1.16057682,0.09902934
1.163337111,0.099777706
1.166097522,0.100532204
1.169777989,0.101298973
1.17253828,0.1020412
1.175605416,0.102703683
1.178672433,0.103537925
1.181126118,0.104347631
1.184193134,0.105169602
1.187566996,0.106016114
1.190327287,0.106844224
1.193394423,0.107623257
1.196461439,0.108408421
1.199835181,0.10917519
1.201982141,0.109960355
1.204742551,0.110727124
1.207809567,0.111500025
1.211490035,0.112315863
1.214250445,0.113107167
